Q,Encoding,QWK,ACC,r_alpha,r_beta
200,linear_decay,0.6836820244789124,0.5227771401405334,0.3186925664633919,0.8608410615966223
200,separable,0.684109628200531,0.5291986465454102,0.7388324998435543,0.8716213140580763
200,static_item,0.6824821829795837,0.5287960171699524,0.7068794682063486,0.9183753035377494
500,linear_decay,0.6971281170845032,0.5352120995521545,0.4192192478994075,0.8179907497075036
500,separable,0.7010774612426758,0.5386366248130798,0.7989995994684906,0.8215333082581985
500,static_item,0.6985456943511963,0.5382941961288452,0.7848788877326298,0.9016730395938328
1000,linear_decay,0.6908769607543945,0.5337870121002197,0.1980057807992374,0.8297850586872927
1000,separable,0.6960572004318237,0.5364771485328674,0.7177271466945341,0.9133836549301316
1000,static_item,0.6934590339660645,0.5354533195495605,0.6177923665380852,0.8763136809866158
2000,linear_decay,0.6868069171905518,0.5311523675918579,0.2480611358793051,0.8559945586985086
2000,separable,0.6994946002960205,0.5341192483901978,0.4328026225878613,0.8788222393616615
2000,static_item,0.7001032829284668,0.538756251335144,0.2938887572539322,0.898734860056582
