epoch,train_loss,val_loss,qwk,cat_acc,mae,balanced_acc,within_one_acc,spearman,ece,nll,cat_acc_0,cat_acc_1
1,1.8622709815464322,1.7091036438941956,0.18874149878142374,0.5929615199565887,0.40703848004341125,0.5952153727412224,1.0,0.18159016570442243,0.09607548080384731,0.6995945051312447,0.537022665143013,0.6534080803394318
2,1.3698975415456862,1.0933231711387634,0.5611160709860133,0.7812236696481705,0.21877635084092617,0.781273003667593,1.0,0.53790110088686,0.08003267366439104,0.49853747338056564,0.7595953941345215,0.8029506132006645
3,1.0452260346639723,1.0138201266527176,0.5981134677214521,0.799816682934761,0.2001833338290453,0.7995921894907951,1.0,0.5692055559109911,0.07088200096040964,0.4658590368926525,0.7881437987089157,0.8110405802726746
4,1.0039797113055275,0.9948153644800186,0.6064668873520356,0.80419921875,0.19580080918967724,0.8034360967576504,1.0,0.5459425931185189,0.06627752538770437,0.4568515978753567,0.8028978854417801,0.8039743080735207
5,0.98954005752291,0.9783002436161041,0.6138186044562182,0.8077093064785004,0.19229070842266083,0.8073453269898891,1.0,0.5504975373369242,0.0657361401244998,0.45097164809703827,0.7989338785409927,0.8157567754387856
6,0.9718425198206826,0.9638747200369835,0.619168761359925,0.8104888051748276,0.18951119855046272,0.8098408840596676,1.0,0.586873372094862,0.06450603203848004,0.4456232115626335,0.8093056380748749,0.8103761300444603
7,0.9608205556869507,0.9579386413097382,0.6220453266967094,0.8118132650852203,0.18818676099181175,0.8114518076181412,1.0,0.5920823950408541,0.06150016654282808,0.44006819650530815,0.8033144772052765,0.8195891380310059
8,0.9519266372635251,0.9485706761479378,0.6249469046736809,0.81334388256073,0.18665613792836666,0.8127662613987923,1.0,0.5936525794033883,0.06315140333026648,0.4397716261446476,0.8082630261778831,0.8172694966197014
9,0.9441332467018612,0.940803661942482,0.6307606355378856,0.8163855746388435,0.18361443653702736,0.8154206238687038,1.0,0.5984749054727883,0.06119264615699649,0.4365760236978531,0.8209892734885216,0.8098519742488861
10,0.9383682570760212,0.9350487738847733,0.6339045140206441,0.8179333806037903,0.18206664733588696,0.8170108012855053,1.0,0.6011710348415124,0.06082203099504113,0.43472256883978844,0.8222535625100136,0.811768040060997
11,0.93144153507929,0.9288758784532547,0.6335789481173904,0.8177153468132019,0.1822846569120884,0.8169594444334507,1.0,0.6020406866821354,0.06294613098725677,0.4331391490995884,0.8162794187664986,0.8176394701004028
12,0.9263172395645626,0.927635945379734,0.6339270409912784,0.8178088814020157,0.18219113163650036,0.8172716572880745,1.0,0.5992865877486238,0.06312906043604016,0.4330487921833992,0.8110648170113564,0.8234784975647926
13,0.9200616951972719,0.9212510660290718,0.6381435958751529,0.8200042024254799,0.1799958199262619,0.8191985860466957,1.0,0.6038723959920819,0.06401897314935923,0.4341869466006756,0.8195885419845581,0.8188086301088333
14,0.9173479714090862,0.918364517390728,0.6375776823844663,0.8197462186217308,0.18025379069149494,0.8188834115862846,1.0,0.605764191163155,0.05631141271442175,0.423252210021019,0.8203156217932701,0.8174512013792992
15,0.9118428391123575,0.9097972512245178,0.6407079863281424,0.8212509378790855,0.17874907702207565,0.8205410875380039,1.0,0.6086818209644149,0.061675972770899534,0.42530739307403564,0.8195978626608849,0.821484312415123
16,0.9029898889481075,0.900873176753521,0.644969278503824,0.8234423771500587,0.1765576396137476,0.8225239738821983,1.0,0.612008954667377,0.057780294213443995,0.41902582347393036,0.8265903294086456,0.818457618355751
17,0.8965494604337783,0.8923592269420624,0.6466741073358633,0.8242439702153206,0.17575604282319546,0.8234711103141308,1.0,0.6130918753031079,0.058545853942632675,0.41656430438160896,0.8232611268758774,0.8236810937523842
18,0.8854586822646004,0.8828053995966911,0.6505954239277701,0.826173223555088,0.1738267932087183,0.8254810385406017,1.0,0.6126119305724922,0.058672075625509024,0.41324301809072495,0.8244775906205177,0.8264844864606857
19,0.8768482529927814,0.8741826117038727,0.6534017939205865,0.8275464773178101,0.17245353572070599,0.826933566480875,1.0,0.6192015682648411,0.06674651289358735,0.4219449944794178,0.8214935287833214,0.8323736041784286
20,0.8694314190319606,0.8682652413845062,0.6553594286125103,0.8286809846758842,0.17131903022527695,0.8275865875184536,1.0,0.6204030035777732,0.06191855436190963,0.4146336205303669,0.8333957493305206,0.8217774257063866
